N,Unsorted Array,Sorted Array,Unsorted SLL,Sorted SLL,Unsorted DLL,Sorted DLL
10,1,10,10,10,1,1
20,1,20,20,20,1,1
30,1,30,30,30,1,1
40,1,40,40,40,1,1
50,1,50,50,50,1,1
60,1,60,60,60,1,1
70,1,70,70,70,1,1
80,1,80,80,80,1,1
90,1,90,90,90,1,1
100,1,100,100,100,1,1
110,1,110,110,110,1,1
120,1,120,120,120,1,1
130,1,130,130,130,1,1
140,1,140,140,140,1,1
150,1,150,150,150,1,1
160,1,160,160,160,1,1
170,1,170,170,170,1,1
180,1,180,180,180,1,1
190,1,190,190,190,1,1
200,1,200,200,200,1,1
210,1,210,210,210,1,1
220,1,220,220,220,1,1
230,1,230,230,230,1,1
240,1,240,240,240,1,1
250,1,250,250,250,1,1
260,1,260,260,260,1,1
270,1,270,270,270,1,1
280,1,280,280,280,1,1
290,1,290,290,290,1,1
300,1,300,300,300,1,1
310,1,310,310,310,1,1
320,1,320,320,320,1,1
330,1,330,330,330,1,1
340,1,340,340,340,1,1
350,1,350,350,350,1,1
360,1,360,360,360,1,1
370,1,370,370,370,1,1
380,1,380,380,380,1,1
390,1,390,390,390,1,1
400,1,400,400,400,1,1
410,1,410,410,410,1,1
420,1,420,420,420,1,1
430,1,430,430,430,1,1
440,1,440,440,440,1,1
450,1,450,450,450,1,1
460,1,460,460,460,1,1
470,1,470,470,470,1,1
480,1,480,480,480,1,1
490,1,490,490,490,1,1
500,1,500,500,500,1,1
510,1,510,510,510,1,1
520,1,520,520,520,1,1
530,1,530,530,530,1,1
540,1,540,540,540,1,1
550,1,550,550,550,1,1
560,1,560,560,560,1,1
570,1,570,570,570,1,1
580,1,580,580,580,1,1
590,1,590,590,590,1,1
600,1,600,600,600,1,1
610,1,610,610,610,1,1
620,1,620,620,620,1,1
630,1,630,630,630,1,1
640,1,640,640,640,1,1
650,1,650,650,650,1,1
660,1,660,660,660,1,1
670,1,670,670,670,1,1
680,1,680,680,680,1,1
690,1,690,690,690,1,1
700,1,700,700,700,1,1
710,1,710,710,710,1,1
720,1,720,720,720,1,1
730,1,730,730,730,1,1
740,1,740,740,740,1,1
750,1,750,750,750,1,1
760,1,760,760,760,1,1
770,1,770,770,770,1,1
780,1,780,780,780,1,1
790,1,790,790,790,1,1
800,1,800,800,800,1,1
810,1,810,810,810,1,1
820,1,820,820,820,1,1
830,1,830,830,830,1,1
840,1,840,840,840,1,1
850,1,850,850,850,1,1
860,1,860,860,860,1,1
870,1,870,870,870,1,1
880,1,880,880,880,1,1
890,1,890,890,890,1,1
900,1,900,900,900,1,1
910,1,910,910,910,1,1
920,1,920,920,920,1,1
930,1,930,930,930,1,1
940,1,940,940,940,1,1
950,1,950,950,950,1,1
960,1,960,960,960,1,1
970,1,970,970,970,1,1
980,1,980,980,980,1,1
990,1,990,990,990,1,1
1000,1,1000,1000,1000,1,1
